%time,field.header.seq,field.header.stamp,field.header.frame_id,field.drive.steering_angle,field.drive.steering_angle_velocity,field.drive.speed,field.drive.acceleration,field.drive.jerk
1651857044848234222,2666,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044848754645,2667,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044849635104,2668,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044850519436,2669,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044852779851,2670,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044855120042,2671,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044855991094,2672,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044858849052,2673,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044860045900,2674,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044860800022,2675,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044861173403,2676,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044861697922,2677,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044863110965,2678,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044864131875,2679,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044867786260,2680,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044868647231,2681,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044869693709,2682,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044871245634,2683,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044873459904,2684,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044874548686,2685,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044878182879,2686,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044879120940,2687,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044883640264,2688,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044884175151,2689,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044886044520,2690,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044887672318,2691,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044888553898,2692,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044889317652,2693,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044889910428,2694,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044891024939,2695,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044894200438,2696,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044894765117,2697,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044897601539,2698,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044898682386,2699,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044900578027,2700,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044901086450,2701,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044901734491,2702,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044902524389,2703,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044904819140,2704,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044908298259,2705,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044909574916,2706,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044910283661,2707,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044911273915,2708,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044912239976,2709,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044914594247,2710,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044916605890,2711,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044917979445,2712,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044919271398,2713,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044920139121,2714,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044923099257,2717,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044924419883,2718,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044924834000,2719,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044927656342,2720,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044928314207,2721,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044931297319,2722,0,,0.0604487769306,0.0,0.5,0.0,0.0
1651857044932462455,2723,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044934167277,2724,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044934647828,2725,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044935442975,2726,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044935914341,2727,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044936956563,2728,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044941951286,2729,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044943096165,2730,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044944502680,2731,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044945385732,2732,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044946136654,2733,0,,0.0581238232553,0.0,0.5,0.0,0.0
